#,Team,sum,Matches,average
1,,Manchester United,1.282.308,19,67.490
2,,Newcastle United,974.874,19,51.309
3,,Sunderland AFC,889.026,19,46.791
4,,Liverpool FC,830.273,19,43.699
5,,Leeds United,740.507,19,38.974
6,,Arsenal FC,721.512,19,37.974
7,,Tottenham Hotspur,668.697,19,35.195
8,,Chelsea FC,659.302,19,34.700
9,,Everton FC,648.491,19,34.131
10,,Manchester City,647.108,19,34.058
11,,Aston Villa,598.933,19,31.523
12,,Middlesbrough FC,584.195,19,30.747
13,,Derby County,542.468,19,28.551
14,,West Ham United,488.246,19,25.697
15,,Ipswich Town,428.116,19,22.532
16,,Coventry City,391.064,19,20.582
17,,Leicester City,388.596,19,20.452
18,,Charlton Athletic,380.429,19,20.023
19,,Bradford City,351.705,19,18.511
20,,Southampton FC,287.189,19,15.115
,overall,12.503.039,380,32.903
