#,Team,sum,Matches,average
1,,Manchester United,1.438.136,19,75.691
2,,Arsenal FC,1.141.335,19,60.070
3,,Newcastle United,975.093,19,51.321
4,,Liverpool FC,827.111,19,43.532
5,,Sunderland AFC,823.540,19,43.344
6,,Manchester City,800.400,19,42.126
7,,Chelsea FC,786.549,19,41.397
8,,Aston Villa,760.560,19,40.029
9,,Everton FC,702.142,19,36.955
10,,Tottenham Hotspur,683.370,19,35.967
11,,West Ham United,657.423,19,34.601
12,,Derby County,616.216,19,32.432
13,,Middlesbrough FC,507.450,19,26.708
14,,Birmingham City,497.438,19,26.181
15,,Blackburn Rovers,454.928,19,23.944
16,,Fulham FC,451.714,19,23.774
17,,Reading FC,448.115,19,23.585
18,,Bolton Wanderers,397.122,19,20.901
19,,Portsmouth FC,378.367,19,19.914
20,,Wigan Athletic,361.876,19,19.046
,overall,13.708.885,380,36.076
