#,Team,sum,Matches,average
1,,Manchester United,1.048.125,19,55.164
2,,Liverpool FC,771.937,19,40.628
3,,Arsenal FC,723.009,19,38.053
4,,Newcastle United,696.762,19,36.672
5,,Aston Villa,686.587,19,36.136
6,,Everton FC,671.740,19,35.355
7,,Leeds United,658.175,19,34.641
8,,Chelsea FC,634.357,19,33.387
9,,Tottenham Hotspur,553.731,19,29.144
10,,Derby County,552.987,19,29.105
11,,Sheffield Wednesday,545.423,19,28.706
12,,Blackburn Rovers,479.804,19,25.253
13,,West Ham United,476.428,19,25.075
14,,Bolton Wanderers,462.693,19,24.352
15,,Crystal Palace,417.673,19,21.983
16,,Leicester City,391.689,19,20.615
17,,Coventry City,374.722,19,19.722
18,,Barnsley FC,350.412,19,18.443
19,,Wimbledon FC,316.652,19,16.666
20,,Southampton FC,288.013,19,15.159
,overall,11.100.919,380,29.213
